"Lake.ID","Date.Sample","Site","sampleID","DOC","TP","SRP","nitrate","TN","chlorophyll","kd","Ibar"
"Meso1","2018-05-30","A","1",7.577834835,12.93220339,1.1875,228.8003563,721.5033945,4.9960613015,0.903545694021424,0.804610694311377
"Meso1","2018-06-07","A","13",7.921075332,11.57627119,0,82.68377992,548.444091,6.329387559,1.0778257500396,0.773070940169598
"Meso1","2018-06-14","A","25",10.81091783,13.21311475,0,105.5862332,663.5372924,9.9091184765,2.54162923544913,0.566091265751666
"Meso1","2018-06-21","A","37",11.64283717,12.72131148,0,167.828616,736.3544739,9.2061048725,3.93138830351243,0.437474654086808
"Meso1","2018-06-28","A","49",16.381148115,12.42372881,0.569230769,227.4808242,776.8535154,6.461656723,3.49621942082476,0.47245161896563
"Meso1","2018-07-05","A","61",21.37577325,13.52459016,0.074626866,296.1807125,939.6155128,4.3102801775,5.22714055837214,0.354582975769593
"Meso1","2018-07-12","A","73",25.680482855,13.36065574,0.223880597,351.8864594,1038.080579,7.9531637465,3.61736026668569,0.462287224554214
"Meso1","2018-07-19","A","85",29.459558445,17.95081967,6.641791045,377.7043267,949.3363917,6.5696839135,7.4336983273287,0.262504479332944
"Meso1","2018-07-26","A","97",31.02568585,15.61290323,7.338461538,488.1333343,1122.109736,11.80159303,9.15614145302692,0.21618829398485
"Meso1","2018-08-02","A","109",35.05220733,11.09677419,3.8,660.8210585,1427.346025,36.109211265,7.48451218470409,0.260885253124751
"Meso10","2018-05-30","B","10",5.361169279,4.196721311,0,109.0314503,449.4158441,4.1809811135,0.416235722726176,0.902799424541641
"Meso10","2018-06-07","B","22",8.7688102505,5.813559322,0,77.91227236,565.4997572,6.907299163,1.75767409989869,0.665350232956212
"Meso10","2018-06-14","B","34",12.356081041,10.91803279,1.5,115.3745921,844.0467382,8.4947975285,1.76584473424944,0.664189161643472
"Meso10","2018-06-21","B","46",14.08270297,15.01639344,0,204.0985093,796.84655,10.951448885,0.425560187936886,0.900770938003327
"Meso10","2018-06-28","B","58",19.151852655,23.27118644,0,332.4798612,1097.571039,11.0056919955,3.12324945739671,0.506014698141227
"Meso10","2018-07-05","B","70",24.29667731,30.08196721,7.686567164,478.9515402,1158.976704,14.936035925,0.554546144378713,0.873335720334236
"Meso10","2018-07-12","B","82",25.05928211,36.14754098,14.10447761,495.1040425,1376.977603,11.75240981,4.6721405636041,0.386672046461656
"Meso10","2018-07-19","B","94",27.64106772,35.6557377,12.91044776,560.1877933,1318.787565,8.959908208,5.2713918636817,0.352214727627539
"Meso10","2018-07-26","B","106",31.538965395,21.74193548,9.953846154,735.0579286,1529.59333,17.648450185,5.1668400882404,0.35785303511521
"Meso10","2018-08-02","B","118",48.30214897,46.41935484,20.72307692,1016.780569,2130.705147,11.877794315,4.26350360058313,0.413449024879583
"Meso11","2018-05-30","A","11",8.556876521,8.131147541,4.121212121,85.7666191,492.2749877,4.6767229185,0.511847427813461,0.882290152959269
"Meso11","2018-06-07","A","23",7.6866812345,10.55932203,0,54.16200054,449.5949795,4.8486219795,1.84436751560698,0.65317814735632
"Meso11","2018-06-14","A","35",9.991693366,11.57377049,0,96.75397724,741.1709214,9.7660507225,2.20114680990068,0.606338231066765
"Meso11","2018-06-21","A","47",12.53754483,4.032786885,6.261538462,185.2551723,682.5268621,2.0516933905,2.78675985583986,0.539526309928355
"Meso11","2018-06-28","A","59",16.47410857,13.77966102,0,322.873875,685.2270918,5.3807214575,4.50269269792692,0.397425560266831
"Meso11","2018-07-05","A","71",22.590133905,13.52459016,5.298507463,304.5817146,838.6930427,4.2604091675,6.3219163614413,0.302950825739426
"Meso11","2018-07-12","A","83",23.03286227,17.29508197,6.343283582,358.1688341,1065.749269,10.388739697,5.58131691262471,0.336343279069419
"Meso11","2018-07-19","A","95",23.917687605,9.754098361,9.029850746,394.7165548,982.1892408,9.9146947005,5.76927079673326,0.327294341093384
"Meso11","2018-07-26","A","107",29.757622145,12.38709677,7.646153846,502.6281801,1030.568978,7.5357721385,7.22594549957488,0.269315192634493
"Meso11","2018-08-02","A","119",42.939335895,7.387096774,8.569230769,740.2624054,1372.973289,4.595593626,6.36186761658457,0.301311884354272
"Meso12","2018-05-30","A","12",4.1413985205,3.37704918,3.363636364,94.65077518,440.0404163,4.1254449645,0.971858056333406,0.792038580419655
"Meso12","2018-06-07","A","24",7.6181483165,2.762711864,4.424242424,62.63430861,525.4563238,5.9835381245,1.88686135846262,0.647328946106199
"Meso12","2018-06-14","A","36",10.69206746,11.40983607,1.65625,114.466465,641.2132606,5.451250338,1.58397987170317,0.690737854107829
"Meso12","2018-06-21","A","48",12.21100563,5.836065574,0,198.0833505,579.4277072,2.641772205,3.03984597930958,0.514020298817082
"Meso12","2018-06-28","A","60",14.42173484,14.45762712,0,181.5610175,687.1765091,6.0952554915,3.14126998410392,0.504309968104568
"Meso12","2018-07-05","A","72",21.19708544,6.803278689,6.940298507,314.3738284,880.5063462,9.2774078075,4.67479206769609,0.386507544255391
"Meso12","2018-07-12","A","84",27.353762935,14.18032787,6.641791045,359.1444272,963.6499232,11.80539063,4.44032199019073,0.401506186835391
"Meso12","2018-07-19","A","96",26.46276168,20.73770492,6.791044776,395.1913214,953.5542059,13.988580025,4.43404834978346,0.401920384170943
"Meso12","2018-07-26","A","108",32.025922915,14.16129032,0.723076923,483.4379173,1060.442902,7.6973342135,8.82419086558209,0.223900475502031
"Meso12","2018-08-02","A","120",47.06501365,7.870967742,10.10769231,743.2896352,1447.256911,10.8629110955,6.42122919231013,0.298904821300018
"Meso2","2018-05-30","D","2",7.565164884,6.327868852,3.666666667,123.0565623,623.6557799,5.360757571,1.42740202667109,0.714825972976883
"Meso2","2018-06-07","D","14",10.0352294665,13.44067797,2.125,47.56255128,474.9494772,7.690298859,1.00735501299009,0.78561333248279
"Meso2","2018-06-14","D","26",9.5620861445,11.08196721,3.363636364,76.51034014,744.5700541,12.56923101,1.08989081444479,0.770951649567874
"Meso2","2018-06-21","D","38",11.4168300555,7.967213115,0,225.0765761,784.471397,14.794772025,1.43709828461009,0.713299888700796
"Meso2","2018-06-28","D","50",15.092981775,16.15254237,3.96969697,186.5580779,668.3782094,7.205990148,1.95283313766807,0.638397183122926
"Meso2","2018-07-05","D","62",19.576593405,28.93442623,0.970149254,272.7135576,805.5822788,8.602917044,1.97503598278868,0.635431366749413
"Meso2","2018-07-12","D","74",24.3668708,22.70491803,6.194029851,347.0651122,1069.167428,7.0774588035,4.03730833837012,0.429576247459247
"Meso2","2018-07-19","D","86",25.42622726,25.81967213,5.895522388,401.9364236,1187.711905,1.597788961,4.04411363755906,0.429076519861552
"Meso2","2018-07-26","D","98",26.27202742,16.41935484,12.10769231,520.9706624,1205.143644,3.280037597,2.541927609777,0.566057752353939
"Meso2","2018-08-02","D","110",36.20520292,27.87096774,14.10769231,1445.57228,1441.287672,3.774023078,3.59797143219825,0.463891046634135
"Meso3","2018-05-30","B","3",9.036031038,3.949152542,2.4375,146.7148496,505.1929306,3.983758105,0.665502602756526,0.850639870510471
"Meso3","2018-06-07","B","15",10.830556855,NA,2.90625,56.05496075,NA,10.125219196,1.57974931344526,0.691373384511614
"Meso3","2018-06-14","B","27",10.0199174405,7.967213115,0,118.8302243,734.5881936,11.93300159,1.93811501916969,0.640374286570563
"Meso3","2018-06-21","B","39",11.009663895,16.16393443,6.876923077,258.7125655,692.6955089,15.50369253,3.18535725065264,0.500176171747808
"Meso3","2018-06-28","B","51",15.328401115,20.05084746,0,263.8970474,859.3294276,16.548611765,4.11308083630117,0.424063792453272
"Meso3","2018-07-05","B","63",21.58200023,23.03278689,7.686567164,359.1848688,1061.436059,11.99636529,4.55447927396403,0.394088108746823
"Meso3","2018-07-12","B","75",25.219046455,27.45901639,1.119402985,445.4132784,1134.728811,22.10351922,3.59332151457613,0.464276971973814
"Meso3","2018-07-19","B","87",27.71252744,41.72131148,15.14925373,507.2044397,1473.133227,2.1144308455,8.08915561692785,0.242913586500515
"Meso3","2018-07-26","B","99",30.432124115,21.58064516,14.87692308,642.0039731,1548.41988,13.720840595,6.5592573750432,0.293434977081049
"Meso3","2018-08-02","B","111",38.79397438,18.51612903,14.72307692,908.6113359,1808.61188,12.38397809,7.45195542401152,0.26192063913186
"Meso4","2018-05-30","C","4",12.52545079,8.950819672,4.625,102.3795888,429.4467545,4.968640538,0.859801413424532,0.812807016660705
"Meso4","2018-06-07","C","16",7.555374467,13.77966102,4.272727273,45.68003921,529.522841,8.2777614995,0.622114531461164,0.859417579257655
"Meso4","2018-06-14","C","28",7.694168024,12.8852459,2.90625,62.15981056,713.0266622,8.907687385,0.895386830492253,0.806130702870917
"Meso4","2018-06-21","C","40",11.42489275,4.032786885,0,148.0884174,661.6508645,8.5674760025,1.24131533929751,0.745031050826219
"Meso4","2018-06-28","C","52",9.857014201,3.779661017,3.515151515,176.8429573,605.4468946,3.7669876025,4.11308083630117,0.424063792453272
"Meso4","2018-07-05","C","64",16.8166124,5.655737705,6.876923077,213.2915809,636.5273062,3.0109037425,2.6917178102706,0.549599941075385
"Meso4","2018-07-12","C","76",22.52143531,7.786885246,0,249.7785217,772.7112804,4.3752526955,2.99973291140847,0.517939471975836
"Meso4","2018-07-19","C","88",25.51509784,5,0.373134328,284.7709496,916.6277456,3.896363291,3.33373313160638,0.486638922455104
"Meso4","2018-07-26","C","100",27.917712385,NA,9.338461538,662.4268963,NA,5.854277946,2.78006432038491,0.540226857373783
"Meso4","2018-08-02","C","112",35.77008259,13.03225806,1.953846154,1053.844101,941.4798624,13.160035825,3.97314504686359,0.434333627476548
"Meso5","2018-05-30","B","5",6.8700452875,4.196721311,3.666666667,68.98407417,429.0427662,4.7131244565,0.768484194063358,0.830292815967992
"Meso5","2018-06-07","B","17",8.6421107375,13.10169492,4.575757576,67.36247568,521.5229708,7.3107304205,0.955898545714788,0.794951204746823
"Meso5","2018-06-14","B","29",9.975911055,18.95081967,4.121212121,110.8477295,700.2047706,15.073186325,1.06656699516843,0.775055942439641
"Meso5","2018-06-21","B","41",11.56642359,16.16393443,0,208.8571957,680.6529007,16.005090975,3.2254401702281,0.496462694201047
"Meso5","2018-06-28","B","53",15.019337775,11.74576271,3.666666667,304.6059608,886.9106933,8.669038773,1.19504365809438,0.752820409855413
"Meso5","2018-07-05","B","65",18.538684655,13.19672131,2.164179104,368.8865568,1061.515963,6.090012799,4.30127694434433,0.410850173944003
"Meso5","2018-07-12","B","77",24.4734913,16.80327869,0.970149254,462.1426731,1034.408321,14.94416329,5.58890508964948,0.335969798661262
"Meso5","2018-07-19","B","89",29.41477773,29.75409836,11.56716418,515.4562987,1367.730575,11.235026196,7.17211808137922,0.271131255801544
"Meso5","2018-07-26","B","101",30.853276565,19,8.107692308,679.3605872,1537.849116,18.51399388,8.31607573072201,0.236737090849108
"Meso5","2018-08-02","B","113",40.326574465,24.80645161,12.10769231,848.9719027,1467.573171,11.734686225,8.75062202992693,0.225678990332907
"Meso6","2018-05-30","D","6",5.486493463,NA,0,99.79037897,526.5249481,5.1018101595,0.557875167236219,0.872642802989918
"Meso6","2018-06-07","D","18",7.931441656,3.779661017,7.8,48.64915482,514.0068789,6.469429286,0.742133016225717,0.835435006010178
"Meso6","2018-06-14","D","30",9.597540241,18.13114754,4.121212121,62.22991527,629.7397601,14.3128925,0.8797018150924,0.809064036660575
"Meso6","2018-06-21","D","42",10.558728815,7.475409836,1.8125,220.7175494,648.7698535,7.8418393705,1.3669917863708,0.724438872735592
"Meso6","2018-06-28","D","54",11.632921117,9.542372881,3.96969697,217.4969703,672.3553038,5.465040775,2.70411244995102,0.548270282176864
"Meso6","2018-07-05","D","66",19.619196465,20.40983607,0,297.6574681,807.5705538,11.6787406995,2.29880383908043,0.59437328936061
"Meso6","2018-07-12","D","78",24.09617008,9.262295082,0,325.6082425,886.6907726,31.266048715,2.08288315893331,0.621306558832373
"Meso6","2018-07-19","D","90",25.4630666,6.475409836,7.646153846,351.3159556,1023.066113,7.72910667,3.36326939579947,0.484011445079145
"Meso6","2018-07-26","D","102",28.482319885,21.41935484,8.261538462,989.3947065,1152.287542,13.764238805,2.97781810934808,0.520099826527818
"Meso6","2018-08-02","D","114",39.011789165,18.83870968,9.8,1310.815801,1218.098277,26.73065144,4.33032825281188,0.408869187584923
"Meso7","2018-05-30","D","7",5.882506709,5.305084746,0,139.9703519,571.8741812,4.595146811,0.680979798967163,0.847538467924003
"Meso7","2018-06-07","D","19",6.7560157265,4.627118644,2.125,36.24467486,564.0996527,6.641044174,0.877048258611683,0.809561752589414
"Meso7","2018-06-14","D","31",10.230077035,14.19672131,0,86.50922804,727.3135712,11.82320899,0.998652114424963,0.787181902231192
"Meso7","2018-06-21","D","43",12.2371667,9.93442623,3.0625,236.9958763,628.3115985,11.153315945,1.59186151074123,0.689556066894947
"Meso7","2018-06-28","D","55",10.335096553,9.711864407,3.818181818,219.6560455,792.1377154,6.8551015835,2.55528864674307,0.564560064433836
"Meso7","2018-07-05","D","67",18.935581995,24.01639344,5.597014925,271.4584937,905.1745069,13.62852354,2.07314240288768,0.622563420765747
"Meso7","2018-07-12","D","79",21.378504995,19.75409836,0.671641791,337.4467842,935.1724698,10.356793326,2.66890256817512,0.552060157329047
"Meso7","2018-07-19","D","91",25.806685735,12.70491803,8.569230769,390.457704,987.0906435,5.5621050315,6.71224189439358,0.287572991160516
"Meso7","2018-07-26","D","103",28.593530455,22.70967742,12.72307692,1078.500904,1368.457635,8.526317895,3.05909294296459,0.512155805604144
"Meso7","2018-08-02","D","115",37.17484115,21.25806452,4.569230769,767.9789858,1393.691818,12.518548515,3.09056123830759,0.509129519922827
"Meso8","2018-05-30","C","8",7.521994341,11.74576271,0,152.5476519,578.9045257,6.5049181355,0.785435580746442,0.827007927528182
"Meso8","2018-06-07","C","20",7.133234729,3.271186441,4.121212121,46.3308629,426.4074259,5.308488725,0.39750112312929,0.906893809541434
"Meso8","2018-06-14","C","32",7.989147644,6.491803279,1.96875,78.76098706,593.1144867,8.0786692225,1.53610027563367,0.697979484501937
"Meso8","2018-06-21","C","44",10.7654793795,9.606557377,0,218.5967942,563.4417131,4.399422997,1.45691365300265,0.71019550892494
"Meso8","2018-06-28","C","56",10.068287965,7.677966102,0,192.2241463,615.9540492,1.955094513,1.32656611402159,0.730974099813038
"Meso8","2018-07-05","C","68",21.51948541,14.50819672,0,330.4009112,696.5782175,7.7452553795,2.2255666702089,0.603313345388621
"Meso8","2018-07-12","C","80",22.12535371,17.95081967,0,278.9688829,822.8596376,5.760564155,3.71417398347607,0.454406948407317
"Meso8","2018-07-19","C","92",27.6225449,20.90163934,6.791044776,297.1974303,886.9377771,1.8700582395,3.16987005209623,0.501622386480342
"Meso8","2018-07-26","C","104",28.70276687,7.387096774,1.184615385,700.2071992,831.7764259,4.661927046,1.55654404787988,0.69487425048607
"Meso8","2018-08-02","C","116",42.616590905,10.61290323,1.953846154,1175.023394,1061.409642,6.9569934405,3.62923409050418,0.461309300663703
"Meso9","2018-05-30","C","9",9.897620451,4.288135593,1.1875,109.8735237,428.9394399,3.905028217,0.632521777692547,0.857300848965107
"Meso9","2018-06-07","C","21",7.4183086315,9.881355932,3.666666667,40.15769883,449.5530549,5.5889120135,0.997828518899957,0.787330568903514
"Meso9","2018-06-14","C","33",10.1221914045,12.8852459,0,58.64597511,800.3276994,7.3464483625,0.88339074688417,0.808372823394491
"Meso9","2018-06-21","C","45",13.20962815,11.40983607,0,146.3589354,694.5016011,7.7091582675,1.37667570807805,0.722885632590754
"Meso9","2018-06-28","C","57",13.400377085,10.05084746,0,195.9495785,854.4914263,3.1795807015,1.06834870147297,0.774741340888392
"Meso9","2018-07-05","C","69",18.87093373,9.918032787,0,267.0877374,669.4956994,8.347482201,1.35672806188348,0.726090265875884
"Meso9","2018-07-12","C","81",25.33228882,14.50819672,0.970149254,297.0549347,820.7280376,13.157322415,2.58162186301422,0.561625513450583
"Meso9","2018-07-19","C","93",25.677651035,12.54098361,7.686567164,310.7223056,841.1810196,5.749030207,2.45179766597459,0.576316904094097
"Meso9","2018-07-26","C","105",28.3059623,5.935483871,1.030769231,741.089988,898.5578424,10.8730301595,3.43676368341958,0.477567814227528
"Meso9","2018-08-02","C","117",43.01800183,7.548387097,1.646153846,1182.452158,895.7306242,16.0937375,3.60903131346917,0.46297512516143
